Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.5%,,24690,Ecuador,,,9177,"$28,548,945,000",4.8%,$105,,2.6%,0.0,15.8%,77,71,0.1,1,33.8%,60.9%,5.3%,13030041,61.1%,The Americas,"$449,000,000","$507,000,000",12/1/2002
2.3%,,6040,El Salvador,,,4232,"$14,306,700,000",7.7%,$184,,2.4%,0.0,,75,65,0.1,1,37.4%,56.8%,5.8%,6008308,60.0%,The Americas,"$521,000,000","$266,000,000",12/1/2002
1.7%,,539,Greenland,,,,"$1,169,136,691",,,,,0.4,,71,65,0.4,1,,,,56609,82.1%,The Americas,,,12/1/2002
1.9%,,205,Grenada,,,,"$544,381,962",6.6%,$353,,1.3%,0.1,11.3%,73,68,0.1,1,33.0%,59.2%,7.7%,102099,36.1%,The Americas,"$91,000,000","$8,000,000",12/1/2002
3.6%,,11096,Guatemala,,,7248,"$20,776,536,920",6.2%,$110,,3.7%,0.0,16.9%,72,65,0.1,1,43.8%,52.1%,4.2%,11765738,45.9%,The Americas,"$647,000,000","$329,000,000",12/1/2002
2.2%,,1580,Guyana,,,,"$722,460,912",5.8%,$56,,3.7%,,16.3%,67,60,0.1,1,35.8%,60.0%,4.2%,750629,28.5%,The Americas,"$53,000,000","$44,000,000",12/1/2002
3.0%,,1826,Haiti,,,2309,"$3,214,632,479",5.5%,$20,,7.1%,0.0,34.2%,60,56,0.0,1,39.4%,56.6%,4.0%,8859635,38.9%,The Americas,"$108,000,000","$172,000,000",12/1/2002
3.0%,,6091,Honduras,,,3380,"$7,776,459,964",7.3%,$88,,2.9%,0.0,22.7%,73,69,0.1,1,41.4%,54.5%,4.0%,6495801,46.6%,The Americas,"$305,000,000","$221,000,000",12/1/2002
1.8%,,10301,Jamaica,,,3586,"$9,718,989,517",4.9%,$180,,1.9%,0.1,18.5%,74,68,0.5,1,32.1%,60.4%,7.6%,2615253,52.3%,The Americas,"$1,482,000,000","$274,000,000",12/1/2002
2.3%,,391251,Mexico,,,150843,"$741,559,499,085",5.6%,$396,,1.9%,0.1,8.2%,77,72,0.2,1,33.4%,61.5%,5.1%,106723661,75.4%,The Americas,"$9,547,000,000","$7,087,000,000",12/1/2002
2.7%,,4037,Nicaragua,,,2636,"$5,224,213,019",5.7%,$57,,3.0%,0.0,18.3%,74,68,0.0,1,39.7%,56.5%,3.9%,5248577,55.2%,The Americas,"$135,000,000","$125,000,000",12/1/2002
2.3%,,5871,Panama,,,2625,"$12,272,400,000",8.0%,$310,,2.1%,0.1,10.6%,78,73,0.2,1,31.6%,62.7%,5.7%,3178450,62.8%,The Americas,"$710,000,000","$252,000,000",12/1/2002
2.7%,,3898,Paraguay,,,3885,"$6,325,151,760",7.0%,$79,,2.6%,0.0,38.7%,73,69,0.3,1,37.2%,58.2%,4.5%,5571371,56.6%,The Americas,"$76,000,000","$117,000,000",12/1/2002
2.3%,,27187,Peru,,,11873,"$53,992,755,100",4.8%,$102,,2.6%,0.1,20.8%,74,69,0.1,1,33.3%,61.7%,5.1%,26729909,73.9%,The Americas,"$836,000,000","$806,000,000",12/1/2002
1.4%,,,Puerto Rico,,,,"$72,546,194,000",,,,,0.2,,82,74,0.4,1,23.0%,65.3%,11.7%,3823701,94.3%,The Americas,"$2,486,000,000","$1,319,000,000",12/1/2002
,,,Sint Maarten (Dutch part),,,,,,,,,,,,,,1,,,,32566,100.0%,The Americas,"$489,000,000","$140,000,000",12/1/2002
1.7%,,198,St. Kitts and Nevis,,,,"$478,067,954",3.7%,$374,,1.2%,0.2,10.9%,74,69,0.1,1,,,,46934,32.4%,The Americas,"$57,000,000","$8,000,000",12/1/2002
1.8%,,326,St. Lucia,,,,"$723,027,643",6.4%,$289,,1.5%,0.1,12.6%,74,70,0.1,1,30.8%,61.9%,7.3%,160217,26.3%,The Americas,"$210,000,000","$34,000,000",12/1/2002
1.7%,,,St. Martin (French part),,,,,,,,,,,81,74,,1,,,,27450,,The Americas,,,12/1/2002
1.9%,,187,St. Vincent and the Grenadines,,,,"$462,641,610",3.9%,$168,,1.9%,0.1,11.6%,73,68,0.1,1,30.2%,62.7%,7.1%,108150,45.9%,The Americas,"$91,000,000","$10,000,000",12/1/2002
2.2%,,2252,Suriname,,,,"$1,078,402,128",7.1%,$161,,2.9%,0.0,22.2%,72,65,0.2,1,30.3%,63.9%,5.9%,480099,66.6%,The Americas,"$17,000,000","$54,000,000",12/1/2002
1.5%,,26890,Trinidad and Tobago,,,12540,"$9,008,273,516",5.0%,$352,,2.5%,0.2,12.5%,73,65,0.2,1,23.8%,69.4%,6.8%,1277723,10.4%,The Americas,"$402,000,000","$208,000,000",12/1/2002
,,99,Turks and Caicos Islands,,,,,,,,,,,,,,1,,,,21740,86.0%,The Americas,"$292,000,000",,12/1/2002
1.4%,,5650950,United States,,,2255957,"$10,980,200,000,000",15.1%,"$5,578",,0.7%,0.6,4.7%,80,74,0.5,1,21.0%,66.7%,12.3%,287625193,79.4%,The Americas,"$104,427,000,000","$81,860,000,000",12/1/2002
1.6%,,4620,Uruguay,,,2538,"$13,606,494,599",11.0%,$449,,1.4%,0.1,118.4%,79,71,0.2,1,24.3%,62.4%,13.3%,3327500,92.6%,The Americas,"$409,000,000","$243,000,000",12/1/2002
2.3%,,193262,"Venezuela, RB",,,57515,"$92,889,586,976",5.7%,$207,,1.7%,0.0,36.6%,76,70,0.3,1,32.7%,62.5%,4.7%,25333622,88.4%,The Americas,"$484,000,000","$1,546,000,000",12/1/2002
1.5%,,,Virgin Islands (U.S.),,,,,,,,,0.3,,81,75,0.4,1,24.6%,66.2%,9.3%,108208,93.0%,The Americas,"$1,195,000,000",,12/1/2002
2.0%,,92533,Algeria,25,,30698,"$67,863,832,648",3.6%,$74,,3.1%,0.0,8.1%,71,68,0.0,1,30.7%,65.1%,4.2%,33003442,62.3%,Africa,"$112,000,000","$255,000,000",12/1/2003
5.0%,,9065,Angola,119,,9004,"$14,188,949,240",4.9%,$45,,12.5%,0.0,96.1%,49,46,0.0,1,47.7%,49.8%,2.5%,15421075,34.6%,Africa,"$63,000,000","$49,000,000",12/1/2003
4.1%,,2321,Benin,32,,2386,"$3,557,229,702",4.6%,$21,,8.2%,0.0,,58,55,0.0,1,44.9%,52.2%,2.8%,7665681,39.3%,Africa,"$108,000,000","$53,000,000",12/1/2003
2.6%,,4265,Botswana,107,,1907,"$7,511,538,765",4.3%,$190,,5.1%,0.0,16.4%,48,47,0.2,1,36.7%,60.2%,3.1%,1832602,54.6%,Africa,"$459,000,000","$235,000,000",12/1/2003
4.5%,,1078,Burkina Faso,40,,,"$4,205,691,122",5.5%,$19,,9.1%,0.0,,53,51,0.0,1,46.6%,50.8%,2.6%,12659086,20.0%,Africa,"$38,000,000","$50,000,000",12/1/2003
4.3%,,165,Burundi,13,,,"$784,654,424",7.2%,$6,,8.2%,0.0,18.2%,50,48,0.0,1,46.8%,50.4%,2.8%,7264340,8.9%,Africa,"$1,200,000","$15,000,000",12/1/2003
4.1%,,3795,Cameroon,45,,6766,"$13,621,809,574",4.9%,$39,,8.4%,0.0,18.0%,53,51,0.1,1,44.7%,52.0%,3.3%,17223277,47.3%,Africa,"$266,000,000","$272,000,000",12/1/2003
3.8%,,235,Central African Republic,22,,,"$1,139,754,772",4.4%,$13,,11.2%,0.0,18.0%,46,43,0.0,1,42.1%,53.9%,4.0%,3829636,37.9%,Africa,"$4,000,000","$31,000,000",12/1/2003
5.0%,,381,Chad,64,,,"$2,736,666,451",5.8%,$17,,10.3%,0.0,18.0%,48,46,0.0,1,49.2%,48.1%,2.7%,9311234,21.7%,Africa,,,12/1/2003
3.9%,,99,Comoros,,,,"$324,470,869",3.6%,$21,,7.2%,0.0,11.8%,60,57,0.0,1,41.4%,55.6%,3.0%,570491,27.9%,Africa,"$16,000,000","$8,000,000",12/1/2003
4.7%,,1698,"Congo, Dem. Rep.",166,,18503,"$8,937,565,919",5.1%,$6,,11.1%,0.0,,49,46,0.0,1,46.4%,50.8%,2.8%,50972323,36.5%,Africa,,,12/1/2003
3.9%,,1085,"Congo, Rep.",37,,999,"$3,495,868,725",2.6%,$27,,7.0%,0.0,18.0%,54,52,0.1,1,42.1%,54.4%,3.6%,3363418,60.1%,Africa,"$30,000,000","$118,000,000",12/1/2003
3.7%,,5460,Cote d'Ivoire,62,,6578,"$13,737,482,343",5.1%,$42,,9.4%,0.0,,47,46,0.1,1,42.2%,54.8%,2.9%,16909801,45.5%,Africa,"$76,000,000","$551,000,000",12/1/2003
2.9%,,407,Djibouti,,,,"$622,044,666",6.2%,$50,,7.5%,0.0,11.3%,59,56,0.0,1,39.0%,57.8%,3.2%,755085,76.7%,Africa,"$6,900,000","$9,900,000",12/1/2003
2.4%,,147963,"Egypt, Arab Rep.",37,,48971,"$82,923,680,622",5.6%,$56,,2.9%,0.0,13.5%,72,67,0.1,1,33.5%,61.0%,5.4%,69432477,42.9%,Africa,"$4,704,000,000","$1,465,000,000",12/1/2003
3.8%,,6018,Equatorial Guinea,,,,"$2,484,745,876",2.0%,$101,,9.2%,0.0,18.0%,49,47,0.1,1,41.5%,55.1%,3.4%,568552,38.8%,Africa,,,12/1/2003
4.0%,,726,Eritrea,,,804,"$870,247,702",3.2%,$6,,5.1%,,,60,55,,1,44.6%,53.5%,1.9%,4472533,18.3%,Africa,"$74,000,000",,12/1/2003
4.1%,,4947,Ethiopia,46,,27648,"$8,465,744,001",4.9%,$6,,7.9%,0.0,7.0%,55,54,0.0,1,46.5%,50.4%,3.1%,71989666,15.3%,Africa,"$336,000,000","$63,000,000",12/1/2003
3.3%,,1335,Gabon,,,1593,"$6,054,883,172",3.8%,$174,,5.3%,0.0,18.0%,61,58,0.2,1,39.9%,54.3%,5.7%,1315820,82.2%,Africa,"$84,000,000","$239,000,000",12/1/2003
4.5%,,315,"Gambia, The",,,,"$487,038,678",4.2%,$15,,5.9%,0.0,29.3%,57,55,0.1,1,45.9%,51.5%,2.6%,1348548,50.6%,Africa,"$58,000,000","$8,000,000",12/1/2003
3.4%,,7631,Ghana,22,,8226,"$7,632,720,680",4.8%,$18,,6.0%,0.0,,59,57,0.0,1,40.7%,56.1%,3.2%,20301686,46.0%,Africa,"$441,000,000","$216,000,000",12/1/2003
4.1%,,1342,Guinea,40,,,"$3,446,442,219",4.9%,$18,,9.2%,0.0,,52,52,0.0,1,43.8%,52.9%,3.3%,9204581,32.1%,Africa,,"$36,000,000",12/1/2003
4.1%,,194,Guinea-Bissau,,,,"$465,414,408",5.8%,$20,,10.1%,0.0,,53,51,0.0,1,43.1%,53.9%,3.0%,1360559,39.2%,Africa,"$2,400,000","$21,300,000",12/1/2003
3.9%,,6755,Kenya,60,,14769,"$14,904,504,019",4.4%,$20,,6.5%,0.0,16.6%,54,52,0.0,1,43.2%,54.1%,2.8%,33905011,20.9%,Africa,"$619,000,000","$127,000,000",12/1/2003
3.0%,,,Lesotho,93,,,"$969,181,551",7.1%,$36,,8.3%,0.0,16.0%,44,44,0.1,1,40.4%,55.0%,4.6%,1898757,21.1%,Africa,"$21,000,000","$242,000,000",12/1/2003
4.1%,,532,Liberia,,,,"$409,000,000",3.4%,$5,,9.7%,0.0,17.1%,54,53,0.0,1,43.2%,53.7%,3.0%,3124222,45.4%,Africa,,,12/1/2003
2.3%,,49167,Libya,,,17441,"$24,062,500,000",4.1%,$194,,2.2%,0.0,7.0%,75,71,0.0,1,31.5%,64.4%,4.1%,5422612,76.7%,Africa,"$243,000,000","$689,000,000",12/1/2003
3.9%,,1701,Madagascar,67,,,"$5,474,030,228",4.8%,$15,,6.1%,0.0,24.3%,62,59,0.0,1,45.2%,51.8%,2.9%,17245275,27.9%,Africa,"$119,000,000","$67,000,000",12/1/2003
4.3%,,957,Malawi,45,,,"$2,424,656,666",6.3%,$13,,8.4%,0.0,48.9%,47,47,0.0,1,46.1%,50.9%,3.0%,12238739,14.9%,Africa,"$66,000,000","$70,000,000",12/1/2003
4.8%,,539,Mali,41,,,"$4,362,439,887",6.2%,$24,,10.5%,0.0,,50,51,0.0,1,46.2%,50.6%,3.2%,11219737,30.5%,Africa,"$136,000,000","$94,000,000",12/1/2003
3.7%,,1474,Mauritania,82,,,"$1,563,072,653",5.4%,$23,,7.6%,0.0,21.0%,62,59,0.1,1,42.0%,54.8%,3.2%,2965667,51.6%,Africa,,,12/1/2003
1.6%,,3146,Mauritius,,,,"$5,609,836,354",3.9%,$188,,1.4%,0.1,21.0%,76,69,0.4,1,24.9%,68.7%,6.4%,1222811,42.0%,Africa,"$960,000,000","$236,000,000",12/1/2003
2.1%,,37561,Morocco,36,,11018,"$49,822,651,702",5.3%,$88,,3.8%,0.0,12.6%,70,67,0.2,1,32.0%,63.1%,4.9%,29586937,54.3%,Africa,"$3,802,000,000","$845,000,000",12/1/2003
4.5%,,1918,Mozambique,153,,8063,"$4,666,197,195",6.4%,$15,,9.9%,0.0,24.7%,49,46,0.0,1,44.4%,52.5%,3.2%,19873460,29.6%,Africa,"$106,000,000","$141,000,000",12/1/2003
3.0%,,1874,Namibia,85,,1076,"$4,931,280,096",6.5%,$162,,4.9%,0.0,14.7%,56,52,0.1,1,40.1%,56.5%,3.3%,1981237,34.7%,Africa,"$383,000,000","$101,000,000",12/1/2003
5.2%,,880,Niger,35,,,"$2,731,416,281",6.8%,$15,,9.0%,0.0,,53,53,0.0,1,48.6%,48.9%,2.5%,12254040,16.5%,Africa,"$28,000,000","$39,000,000",12/1/2003
4.3%,,93138,Nigeria,36,,99007,"$67,655,840,108",7.5%,$39,,10.3%,0.0,20.7%,48,47,0.0,1,43.5%,53.8%,2.8%,132550146,37.4%,Africa,"$58,000,000","$2,076,000,000",12/1/2003
3.9%,,682,Rwanda,18,,,"$1,845,979,351",6.3%,$13,,8.3%,0.0,17.1%,53,51,0.0,1,45.2%,52.1%,2.7%,9126167,17.6%,Africa,"$30,000,000","$26,000,000",12/1/2003
3.7%,,66,Sao Tome and Principe,,,,"$101,315,400",11.8%,$78,,5.2%,0.1,29.6%,66,62,0.0,1,42.6%,53.4%,4.0%,147455,56.3%,Africa,"$7,400,000","$1,800,000",12/1/2003
3.9%,,5013,Senegal,59,,2556,"$6,858,952,717",5.4%,$35,,6.2%,0.0,,61,58,0.1,1,44.5%,52.4%,3.2%,10673535,40.8%,Africa,"$269,000,000","$129,000,000",12/1/2003
1.8%,,557,Seychelles,,,,"$703,096,503",4.8%,$403,,1.2%,0.1,10.6%,76,66,0.6,1,25.8%,66.4%,7.8%,82800,50.6%,Africa,"$258,000,000","$54,000,000",12/1/2003
4.3%,,653,Sierra Leone,26,,,"$1,371,442,566",15.5%,$45,,13.3%,0.0,20.0%,41,40,0.0,1,42.8%,54.8%,2.4%,4712763,36.4%,Africa,"$60,000,000","$38,000,000",12/1/2003
4.7%,,576,Somalia,,,,,,,,10.5%,0.0,,53,50,0.0,1,47.6%,49.5%,2.9%,8037706,34.4%,Africa,,,12/1/2003
2.3%,,380811,South Africa,38,,117374,"$168,219,325,184",8.6%,$310,,5.3%,0.1,15.0%,54,51,0.4,1,31.6%,64.5%,3.9%,46409243,58.4%,Africa,"$6,674,000,000","$3,655,000,000",12/1/2003
4.1%,,,South Sudan,,,,,,,,9.5%,,,51,49,,1,44.4%,52.5%,3.1%,7449905,16.9%,Africa,,,12/1/2003
3.9%,,9072,Sudan,,,14725,"$17,646,271,397",3.8%,$23,,6.4%,0.0,,61,57,0.0,1,43.5%,53.5%,3.0%,29973979,32.7%,Africa,"$17,000,000","$119,000,000",12/1/2003
3.2%,,1041,Swaziland,,,,"$1,854,020,496",5.8%,$98,,8.2%,0.0,14.6%,46,46,0.1,1,43.0%,53.9%,3.1%,1087929,22.3%,Africa,"$70,000,000","$23,000,000",12/1/2003
4.2%,,3806,Tanzania,28,,15491,"$11,659,129,815",3.7%,$12,,6.6%,0.0,14.5%,53,51,0.0,1,44.6%,52.4%,3.0%,36760831,23.6%,Africa,"$654,000,000","$375,000,000",12/1/2003
3.9%,,1463,Togo,65,,2303,"$1,673,690,390",5.6%,$18,,7.2%,0.0,,55,53,0.0,1,43.3%,53.9%,2.8%,5258956,34.3%,Africa,"$26,000,000","$37,000,000",12/1/2003
1.7%,,21397,Tunisia,11,,8028,"$27,453,084,983",5.4%,$151,,2.2%,0.1,,75,71,0.2,1,27.2%,66.3%,6.5%,9839800,64.6%,Africa,"$1,935,000,000","$355,000,000",12/1/2003
4.7%,,1709,Uganda,34,,,"$6,336,696,289",7.6%,$18,,7.7%,0.0,18.9%,51,51,0.0,1,49.4%,48.1%,2.6%,26838428,12.5%,Africa,"$185,000,000",,12/1/2003
4.5%,,2101,Zambia,35,,6828,"$4,341,841,414",6.7%,$27,,8.6%,0.0,40.6%,45,44,0.0,1,46.4%,50.9%,2.7%,10894519,35.8%,Africa,"$88,000,000","$115,000,000",12/1/2003
3.2%,,10627,Zimbabwe,97,,9500,"$5,727,591,778",,,,5.8%,0.1,97.3%,42,43,0.0,1,41.6%,54.9%,3.5%,12673103,34.5%,Africa,"$61,000,000",,12/1/2003
4.7%,,583,Afghanistan,,,,"$4,583,648,922",10.0%,$18,,8.8%,0.0,,57,55,0.0,1,49.4%,48.5%,2.0%,23116142,22.2%,Asia,,,12/1/2003
1.4%,,3429,Armenia,18,,1981,"$2,807,061,009",5.6%,$51,,2.3%,0.0,20.8%,76,69,0.0,1,23.3%,65.5%,11.2%,3036032,64.3%,Asia,"$90,000,000","$97,000,000",12/1/2003
1.4%,,30616,Azerbaijan,105,,12158,"$7,275,766,111",6.6%,$57,,5.0%,,15.5%,71,65,0.1,1,28.0%,65.8%,6.2%,8234100,52.0%,Asia,"$70,000,000","$120,000,000",12/1/2003
2.5%,,33883,Bangladesh,50,,21713,"$51,913,661,485",3.0%,$11,,5.6%,0.0,16.0%,67,66,0.0,1,35.4%,60.5%,4.2%,139185986,25.4%,Asia,"$59,000,000","$389,000,000",12/1/2003
2.5%,,378,Bhutan,62,,,"$622,026,107",5.1%,$51,,5.1%,0.0,15.0%,63,62,0.0,1,36.5%,59.5%,4.0%,616383,28.7%,Asia,"$8,000,000",,12/1/2003
2.1%,,5357,Brunei Darussalam,,,2505,"$6,557,333,067",3.1%,$575,,0.8%,0.2,5.5%,79,75,0.5,1,29.5%,67.5%,3.0%,353649,72.6%,Asia,"$124,000,000","$469,000,000",12/1/2003
2.6%,,2380,Cambodia,94,,4115,"$4,658,246,907",7.3%,$26,,6.3%,0.0,,68,62,0.0,1,37.9%,58.0%,4.1%,12934369,18.9%,Asia,"$441,000,000","$60,000,000",12/1/2003
1.2%,,4525177,China,48,,1427554,"$1,640,958,734,582",4.8%,$61,,2.4%,0.1,5.3%,75,72,0.2,1,22.5%,70.2%,7.4%,1288400000,39.8%,Asia,"$18,707,000,000","$16,716,000,000",12/1/2003
1.2%,,3773,Georgia,25,,2705,"$3,991,374,540",8.5%,$74,,2.6%,0.0,23.8%,76,69,0.2,1,19.7%,66.4%,13.9%,4328900,52.4%,Asia,"$172,000,000","$170,000,000",12/1/2003
0.7%,,40066,"Hong Kong SAR, China",11,,13608,"$161,384,522,525",,,,,0.5,5.0%,84,79,1.1,1,15.5%,72.8%,11.7%,6730800,100.0%,Asia,"$9,004,000,000","$11,447,000,000",12/1/2003
2.4%,,1281914,India,89,,489507,"$618,356,467,438",4.3%,$24,,6.0%,0.0,11.5%,65,62,0.0,1,33.0%,62.4%,4.6%,1093786762,28.6%,Asia,"$4,560,000,000","$4,385,000,000",12/1/2003
2.1%,,316792,Indonesia,168,,165366,"$234,772,458,818",2.5%,$27,,3.6%,0.0,16.9%,70,66,0.1,1,30.1%,65.1%,4.8%,218145617,44.4%,Asia,"$4,461,000,000","$4,427,000,000",12/1/2003
0.9%,,1237429,Japan,31,,506237,"$4,302,939,184,964",8.0%,"$2,693",,0.3%,0.5,1.8%,85,78,0.7,1,14.1%,67.2%,18.8%,127718000,83.2%,Asia,"$11,475,000,000","$36,505,000,000",12/1/2003
1.7%,,153816,Kazakhstan,26,,43041,"$30,833,692,831",3.7%,$77,,3.2%,0.0,,72,61,0.1,1,25.7%,67.0%,7.4%,14909018,55.1%,Asia,"$638,000,000","$783,000,000",12/1/2003
1.6%,,77777,"Korea, Dem. Rep.",,,20027,,,,,3.0%,,,71,64,,1,25.3%,67.9%,6.8%,23449180,59.6%,Asia,,,12/1/2003
1.0%,,466215,"Korea, Rep.",17,,202717,"$680,520,807,982",5.2%,$695,,0.5%,0.7,6.2%,81,74,0.7,1,19.9%,71.6%,8.5%,47859311,80.7%,Asia,"$7,005,000,000","$11,063,000,000",12/1/2003
2.1%,,5328,Kyrgyz Republic,21,,2584,"$1,919,012,781",5.4%,$21,,3.7%,0.0,19.1%,72,65,0.0,1,32.6%,61.7%,5.7%,5043300,35.3%,Asia,"$62,000,000","$35,000,000",12/1/2003
2.9%,,1129,Lao PDR,153,,,"$2,023,324,407",4.9%,$18,,7.5%,0.0,30.5%,65,62,0.0,1,41.8%,54.5%,3.7%,5619069,25.1%,Asia,"$77,000,000","$5,000,000",12/1/2003
0.8%,,1536,"Macao SAR, China",,,,"$7,926,373,572",,,,,0.3,6.0%,81,76,0.8,1,19.7%,73.0%,7.4%,450711,100.0%,Asia,"$5,225,000,000","$471,000,000",12/1/2003
2.0%,,160266,Malaysia,37,,54619,"$110,202,368,421",3.9%,$172,,0.7%,0.4,6.3%,76,71,0.4,1,31.5%,64.4%,4.2%,24890654,64.8%,Asia,"$6,799,000,000","$3,401,000,000",12/1/2003
2.2%,,598,Maldives,13,,,"$949,867,662",6.0%,$199,,2.5%,0.1,14.0%,74,71,0.2,1,37.0%,58.7%,4.3%,287594,31.3%,Asia,"$402,000,000","$60,000,000",12/1/2003
1.9%,,8034,Mongolia,20,,2525,"$1,595,297,301",7.4%,$48,,4.2%,,31.9%,68,61,0.1,1,31.1%,65.2%,3.7%,2468595,60.4%,Asia,"$154,000,000","$144,000,000",12/1/2003
2.0%,,9846,Myanmar,,,14064,,2.3%,$4,,5.4%,0.0,15.0%,65,61,0.0,1,29.0%,66.1%,4.8%,49577152,28.1%,Asia,"$70,000,000","$36,000,000",12/1/2003
3.0%,,2952,Nepal,31,,8707,"$6,330,476,435",5.4%,$14,,5.2%,0.0,7.4%,65,63,0.0,1,39.9%,55.9%,4.1%,24525527,14.6%,Asia,"$232,000,000","$119,000,000",12/1/2003
2.9%,,118895,Pakistan,24,,68695,"$83,244,801,093",2.9%,$16,,8.3%,0.1,,65,64,0.0,1,39.5%,56.4%,4.0%,152419974,34.1%,Asia,"$620,000,000","$1,163,000,000",12/1/2003
2.8%,,71532,Philippines,49,,38822,"$83,908,205,720",3.2%,$33,,2.9%,0.0,9.5%,71,64,0.3,1,37.7%,59.0%,3.3%,82604681,47.1%,Asia,"$1,821,000,000","$1,649,000,000",12/1/2003
1.1%,,31133,Singapore,8,,25634,"$97,002,305,536",3.6%,$823,,0.3%,0.5,5.3%,82,77,0.8,1,20.1%,72.0%,7.9%,4114800,100.0%,Asia,"$3,842,000,000","$8,382,000,000",12/1/2003
1.9%,,10660,Sri Lanka,58,,8682,"$18,881,765,437",3.9%,$38,,1.3%,0.0,10.3%,77,70,0.1,1,25.8%,67.5%,6.7%,19173000,18.4%,Asia,"$709,000,000","$462,000,000",12/1/2003
2.9%,,2076,Tajikistan,,,2170,"$1,554,125,543",4.5%,$11,,6.1%,0.0,16.7%,69,61,0.0,1,40.2%,56.1%,3.7%,6529609,26.4%,Asia,"$6,200,000","$2,100,000",12/1/2003
1.3%,,232198,Thailand,33,,89107,"$142,640,079,033",3.6%,$79,,1.7%,0.1,5.9%,75,68,0.3,1,23.1%,69.6%,7.3%,64488338,35.0%,Asia,"$10,456,000,000","$3,538,000,000",12/1/2003
3.9%,,161,Timor-Leste,,,,"$436,500,000",7.5%,$24,,7.2%,,16.7%,63,60,0.0,1,49.1%,48.3%,2.6%,933369,25.3%,Asia,,,12/1/2003
2.3%,,42215,Turkmenistan,,,17629,"$5,977,440,583",3.8%,$95,,6.2%,0.0,,68,60,0.0,1,34.2%,61.3%,4.5%,4648037,46.6%,Asia,,,12/1/2003
2.0%,,122683,Uzbekistan,29,,51412,"$10,128,112,401",5.2%,$20,,4.9%,0.0,,71,64,0.0,1,34.9%,60.5%,4.6%,25567650,37.0%,Asia,"$48,000,000",,12/1/2003
1.7%,,78767,Vietnam,59,,35111,"$42,717,072,778",5.2%,$25,,2.5%,0.0,9.5%,79,70,0.0,1,28.9%,64.6%,6.5%,80468400,26.1%,Asia,"$1,400,000,000",,12/1/2003
1.6%,,4294,Albania,41,,1976,"$5,652,325,082",6.2%,$108,,2.0%,0.0,14.3%,79,72,0.3,1,28.2%,64.0%,7.8%,3033659,44.6%,Europe,"$537,000,000","$507,000,000",12/1/2003
1.0%,,535,Andorra,,,,"$1,917,948,475",5.8%,"$1,891",,0.3%,0.1,,,,0.7,1,,,,75643,91.2%,Europe,,,12/1/2003
1.0%,,72317,Austria,25,,32214,"$253,945,776,524",10.3%,"$3,223",,0.4%,0.4,,82,76,0.9,1,16.5%,67.8%,15.7%,8121423,65.8%,Europe,"$15,128,000,000","$9,761,000,000",12/1/2003
0.9%,,53722,Belarus,79,,26009,"$17,825,436,035",6.6%,$120,,0.9%,,24.0%,75,63,0.1,1,16.6%,69.1%,14.3%,9797000,71.4%,Europe,"$339,000,000","$436,000,000",12/1/2003
1.1%,,114836,Belgium,56,,59242,"$311,689,616,253",10.0%,"$3,000",,0.4%,0.5,6.9%,81,75,0.8,1,17.3%,65.5%,17.2%,10376133,97.3%,Europe,"$8,848,000,000","$13,402,000,000",12/1/2003
0.9%,,23238,Bosnia and Herzegovina,68,,4400,"$8,370,020,196",8.0%,$174,,0.7%,0.0,10.9%,78,73,0.3,1,19.4%,68.4%,12.2%,3895779,39.2%,Europe,"$404,000,000","$145,000,000",12/1/2003
0.9%,,47308,Bulgaria,32,,19399,"$20,668,176,834",7.6%,$201,,1.6%,0.1,8.5%,76,69,0.4,1,14.3%,68.5%,17.1%,7823557,69.9%,Europe,"$2,051,000,000","$1,467,000,000",12/1/2003
0.9%,,23542,Croatia,29,,8812,"$34,143,409,062",6.4%,$495,,0.6%,0.2,11.6%,78,71,0.6,1,16.4%,67.0%,16.6%,4440000,56.0%,Europe,"$6,513,000,000","$709,000,000",12/1/2003
1.2%,,7748,Cyprus,,,2332,"$13,319,544,758",6.8%,"$1,235",,0.5%,0.3,6.9%,81,76,0.6,1,20.9%,68.6%,10.5%,998142,68.6%,Europe,"$2,325,000,000","$700,000,000",12/1/2003
0.9%,,122379,Czech Republic,40,,44415,"$95,292,530,753",7.1%,$666,,0.5%,0.3,5.9%,79,72,1.0,1,15.4%,70.7%,13.9%,10193998,73.7%,Europe,"$4,069,000,000","$2,177,000,000",12/1/2003
1.2%,,55735,Denmark,7,,20087,"$212,621,855,883",9.5%,"$3,756",,0.4%,0.8,,80,75,0.9,1,18.8%,66.3%,14.9%,5390574,85.4%,Europe,"$5,271,000,000","$6,659,000,000",12/1/2003
1.0%,,17052,Estonia,72,,5188,"$9,845,187,817",4.9%,$352,,0.7%,0.5,5.5%,77,66,0.8,1,16.1%,67.6%,16.3%,1370720,69.0%,Europe,"$883,000,000","$404,000,000",12/1/2003
,,777,Faeroe Islands,,,,"$1,486,861,879",,,,,0.6,,82,77,0.8,1,,,,48308,38.7%,Europe,,,12/1/2003
